Date,mp_id,rc_id,Actual_Revenue,Forecasted_Revenue
2024-04-27,0,3,15429.0,13471.412838047529
2024-04-28,0,3,12200.0,13471.412838047529
2024-04-29,0,3,12362.0,13471.412838047529
2024-04-30,0,3,12496.0,13471.412838047529
2024-04-01,0,4,0.0,804.4007584398513
2024-04-02,0,4,0.0,804.4007584398513
2024-04-03,0,4,0.0,804.4007584398513
2024-04-04,0,4,0.0,804.4007584398513
2024-04-05,0,4,0.0,804.4007584398513
2024-04-06,0,4,0.0,804.4007584398513
2024-04-07,0,4,0.0,804.4007584398513
2024-04-08,0,4,0.0,804.4007584398513
2024-04-09,0,4,0.0,804.4007584398513
2024-04-10,0,4,506.875,804.4007584398513
2024-04-11,0,4,64.0,804.4007584398513
2024-04-12,0,4,0.0,804.4007584398513
2024-04-13,0,4,164.0,804.4007584398513
2024-04-14,0,4,122.0,804.4007584398513
2024-04-15,0,4,125.0,804.4007584398513
2024-04-16,0,4,0.0,804.4007584398513
2024-04-17,0,4,0.0,804.4007584398513
2024-04-18,0,4,481.0,804.4007584398513
2024-04-19,0,4,506.875,804.4007584398513
2024-04-20,0,4,506.875,804.4007584398513
2024-04-21,0,4,50.0,804.4007584398513
2024-04-22,0,4,108.0,804.4007584398513
2024-04-23,0,4,235.0,804.4007584398513
2024-04-24,0,4,197.0,804.4007584398513
2024-04-25,0,4,158.0,804.4007584398513
2024-04-26,0,4,0.0,804.4007584398513
2024-04-27,0,4,110.0,804.4007584398513
2024-04-28,0,4,32.0,804.4007584398513
2024-04-29,0,4,119.0,804.4007584398513
2024-04-30,0,4,147.0,804.4007584398513
2024-04-01,0,5,0.0,804.4007584398513
2024-04-02,0,5,0.0,804.4007584398513
2024-04-03,0,5,0.0,804.4007584398513
2024-04-04,0,5,0.0,804.4007584398513
2024-04-05,0,5,0.0,804.4007584398513
2024-04-06,0,5,0.0,804.4007584398513
2024-04-07,0,5,16.0,804.4007584398513
2024-04-08,0,5,0.0,804.4007584398513
2024-04-09,0,5,69.0,804.4007584398513
2024-04-10,0,5,42.0,804.4007584398513
