Date,MealPeriod,RevenueCenterName,Revenue_forecast
2024-05-09,BreakFast,RevenueCenter_5,8064.534
2024-05-10,BreakFast,RevenueCenter_5,7785.7114
2024-05-11,BreakFast,RevenueCenter_5,7710.584
2024-05-12,BreakFast,RevenueCenter_5,7767.2075
2024-05-13,BreakFast,RevenueCenter_5,7899.3467
2024-05-14,BreakFast,RevenueCenter_5,7933.6387
2024-05-15,BreakFast,RevenueCenter_5,8172.369
2024-05-16,BreakFast,RevenueCenter_5,8135.9863
2024-05-17,BreakFast,RevenueCenter_5,7852.4233
2024-05-18,BreakFast,RevenueCenter_5,7763.1553
2024-05-19,BreakFast,RevenueCenter_5,7841.482
2024-05-20,BreakFast,RevenueCenter_5,7978.738
2024-05-21,BreakFast,RevenueCenter_5,8012.791
2024-05-22,BreakFast,RevenueCenter_5,8250.826
2024-05-23,BreakFast,RevenueCenter_5,8213.66
2024-05-24,BreakFast,RevenueCenter_5,7923.337
2024-05-25,BreakFast,RevenueCenter_5,7818.954
2024-05-26,BreakFast,RevenueCenter_5,7910.862
2024-05-27,BreakFast,RevenueCenter_5,8049.419
2024-05-28,BreakFast,RevenueCenter_5,8082.7173
2024-05-29,BreakFast,RevenueCenter_5,8319.766
2024-05-30,BreakFast,RevenueCenter_5,8281.091
2024-05-01,BreakFast,RevenueCenter_6,34.68113
2024-05-02,BreakFast,RevenueCenter_6,36.64618
2024-05-03,BreakFast,RevenueCenter_6,43.738026
2024-05-04,BreakFast,RevenueCenter_6,56.57986
2024-05-05,BreakFast,RevenueCenter_6,28.865242
2024-05-06,BreakFast,RevenueCenter_6,25.136292
2024-05-07,BreakFast,RevenueCenter_6,25.534729
2024-05-08,BreakFast,RevenueCenter_6,29.525589
2024-05-09,BreakFast,RevenueCenter_6,31.941536
2024-05-10,BreakFast,RevenueCenter_6,37.28201
2024-05-11,BreakFast,RevenueCenter_6,49.179268
2024-05-12,BreakFast,RevenueCenter_6,19.965256
2024-05-13,BreakFast,RevenueCenter_6,17.85141
2024-05-14,BreakFast,RevenueCenter_6,21.75956
2024-05-15,BreakFast,RevenueCenter_6,27.77427
2024-05-16,BreakFast,RevenueCenter_6,30.682053
2024-05-17,BreakFast,RevenueCenter_6,36.459877
2024-05-18,BreakFast,RevenueCenter_6,49.374302
2024-05-19,BreakFast,RevenueCenter_6,19.434753
2024-05-20,BreakFast,RevenueCenter_6,17.775444
2024-05-21,BreakFast,RevenueCenter_6,22.56569
2024-05-22,BreakFast,RevenueCenter_6,28.975677
2024-05-23,BreakFast,RevenueCenter_6,31.662128
2024-05-24,BreakFast,RevenueCenter_6,37.59959
2024-05-25,BreakFast,RevenueCenter_6,51.08255
2024-05-26,BreakFast,RevenueCenter_6,20.386322
2024-05-27,BreakFast,RevenueCenter_6,18.726181
2024-05-28,BreakFast,RevenueCenter_6,23.850296
2024-05-29,BreakFast,RevenueCenter_6,30.400978
2024-05-30,BreakFast,RevenueCenter_6,32.75003
2024-05-01,BreakFast,RevenueCenter_7,7.9999456
2024-05-02,BreakFast,RevenueCenter_7,5.363118
2024-05-03,BreakFast,RevenueCenter_7,5.022153
2024-05-04,BreakFast,RevenueCenter_7,4.7501736
2024-05-05,BreakFast,RevenueCenter_7,2.2907162
2024-05-06,BreakFast,RevenueCenter_7,4.151965
